restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
1,#FeelTheROLL,Quick Bites,3.4,7,200.0,0,0,Fast Food,Bellandur,Bellandur,zomato,Bangalore,
2,#L-81 Cafe,Quick Bites,3.9,48,400.0,1,0,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR,zomato,Bangalore,
3,#refuel,Cafe,3.7,37,400.0,1,0,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,zomato,Bangalore,
4,'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,zomato,Bangalore,
5,'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,zomato,Bangalore,
6,'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,zomato,Bangalore,
7,'@Italy,Casual Dining,4.1,305,700.0,1,0,Italian,Banashankari,Kumaraswamy Layout,zomato,Bangalore,
8,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,0,0,North Indian,Indiranagar,Old Airport Road,zomato,Bangalore,
9,1000 B.C,Quick Bites,3.2,49,300.0,1,0,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,zomato,Bangalore,
10,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450.0,0,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,zomato,Bangalore,
11,11 to 11 Express Biriyanis,Quick Bites,3.5,22,300.0,1,0,"Biryani, Kebab",Electronic City,Electronic City,zomato,Bangalore,
12,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,0,1,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,zomato,Bangalore,
13,12th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,0,1,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,zomato,Bangalore,
14,1441 Pizzeria,Casual Dining,4.1,119,800.0,1,0,"Pizza, Salad",Basavanagudi,JP Nagar,zomato,Bangalore,
15,1522 - The Pub,Pub,4.2,1731,1400.0,1,0,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,zomato,Bangalore,
16,154 Breakfast Club,Cafe,4.0,1509,900.0,1,1,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,zomato,Bangalore,
17,1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,zomato,Bangalore,
18,18+ Ice Cafe,Cafe,3.5,24,550.0,0,0,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,zomato,Bangalore,
19,1947,Casual Dining,3.9,620,1000.0,0,1,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,zomato,Bangalore,
20,1980s Games Cafe,Cafe,3.4,58,400.0,1,0,"Cafe, Fast Food",Banashankari,Basavanagudi,zomato,Bangalore,
21,1992 Chats - Space,Quick Bites,3.7,33,200.0,1,0,Street Food,Malleshwaram,Rajajinagar,zomato,Bangalore,
22,1Q1,"Casual Dining, Bar",4.3,595,2500.0,0,1,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,zomato,Bangalore,
23,1TO3 Kitchen,Delivery,3.1,11,800.0,0,0,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,zomato,Bangalore,
24,2 Statez,Casual Dining,3.7,209,600.0,1,0,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,zomato,Bangalore,
25,20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419,1400.0,1,1,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,zomato,Bangalore,
26,20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,1,1,"American, Continental, Steak, Salad",Brigade Road,Church Street,zomato,Bangalore,
27,21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,0,0,Continental,Basavanagudi,Jayanagar,zomato,Bangalore,
28,24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,0,0,"Asian, Continental",Brigade Road,Cunningham Road,zomato,Bangalore,
29,24 Hours Cake Delivery,Delivery,3.3,4,700.0,0,0,Bakery,Indiranagar,Old Airport Road,zomato,Bangalore,
30,24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,0,0,Cafe,Electronic City,Electronic City,zomato,Bangalore,
31,24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,0,1,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,zomato,Bangalore,
32,24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,1,0,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar,zomato,Bangalore,
33,24@43 - The Oterra,Fine Dining,4.1,268,3000.0,0,1,"North Indian, Asian, Continental",Electronic City,Electronic City,zomato,Bangalore,
34,24th Main,Casual Dining,4.1,1234,800.0,0,1,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,zomato,Bangalore,
35,29 Degrees North,Quick Bites,3.9,283,250.0,1,0,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,zomato,Bangalore,
36,2nd Home Restaurant,Quick Bites,3.7,21,500.0,1,0,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,zomato,Bangalore,
